^SPX (Standard & Poors 500 Index),2881.4,0.0001
May 13 2019 @ 04:47 ET,Bid,2856.41,Ask,2901.86,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
05/10/2019,SPXW190510C02000000,0,0,870,894,0,0,0.9929,0,0,2000.000,SPXW190510P02000000,0,0,0,0.05,0,11.7294,-0.0003,0,1070
05/10/2019,SPXW190510C02050000,0,0,820,843.9,0,0,0.9994,0,0,2050.000,SPXW190510P02050000,0,0,0,0.05,0,10.9695,-0.0003,0,3756
05/10/2019,SPXW190510C02075000,0,0,795,819,0,0,0.9994,0,0,2075.000,SPXW190510P02075000,0,0,0,0.05,0,10.586,-0.0003,0,923
05/10/2019,SPXW190510C02100000,0,0,770,794,0,0,0.9884,0.0001,0,2100.000,SPXW190510P02100000,0,0,0,0.05,0,10.2492,-0.0004,0,8681
05/10/2019,SPXW190510C02125000,0,0,745,769,0,0,0.9993,0,0,2125.000,SPXW190510P02125000,0,0,0,0.05,0,9.876,-0.0004,0,628
05/10/2019,SPXW190510C02150000,0,0,720,743.9,0,0,0.9993,0,0,2150.000,SPXW190510P02150000,0,0,0,0.05,0,9.501,-0.0004,0,761
05/10/2019,SPXW190510C02175000,0,0,695,718.9,0,0,0.9993,0,0,2175.000,SPXW190510P02175000,0,0,0,0.05,0,9.1268,-0.0004,0,1166
05/10/2019,SPXW190510C02200000,659.14,-9.96,670,694,1,0,0.9992,0,0,2200.000,SPXW190510P02200000,0,0,0,0.05,0,8.8256,-0.0004,0,13202
05/10/2019,SPXW190510C02225000,0,0,645,669,0,0,0.9992,0,0,2225.000,SPXW190510P02225000,0,0,0,0.05,0,8.4671,-0.0004,0,1419
05/10/2019,SPXW190510C02240000,0,0,630,654,0,0,0.9992,0,0,2240.000,SPXW190510P02240000,0,0,0,0.05,0,8.2951,-0.0004,0,211
05/10/2019,SPXW190510C02250000,0,0,620,643.9,0,0,0.9992,0,0,2250.000,SPXW190510P02250000,0,0,0,0.05,0,8.1354,-0.0004,0,1486
05/10/2019,SPXW190510C02260000,0,0,610,634,0,0,0.9992,0,0,2260.000,SPXW190510P02260000,0,0,0,0.05,0,8.001,-0.0004,0,191
05/10/2019,SPXW190510C02270000,584.71,-13.89,600,623.9,1,0,0.9992,0,0,2270.000,SPXW190510P02270000,0,0,0,0.05,0,7.8614,-0.0005,0,154
05/10/2019,SPXW190510C02275000,579.69,-14.36,595,619,1,0,0.9992,0,0,2275.000,SPXW190510P02275000,0,0,0,0.05,0,7.751,-0.0004,0,3056
05/10/2019,SPXW190510C02280000,0,0,590,613.9,0,0,0.9991,0,0,2280.000,SPXW190510P02280000,0,0,0,0.05,0,7.751,-0.0005,0,470
05/10/2019,SPXW190510C02290000,0,0,580,603.9,0,0,0.9849,0.0001,0,2290.000,SPXW190510P02290000,0,0,0,0.05,0,7.6048,-0.0005,0,745
05/10/2019,SPXW190510C02300000,0,0,570,593.9,0,0,0.9991,0,0,2300.000,SPXW190510P02300000,0,0,0,0.05,0,7.402,-0.0004,0,15476
05/10/2019,SPXW190510C02310000,0,0,560,583.9,0,0,0.9845,0.0001,0,2310.000,SPXW190510P02310000,0,0,0,0.05,0,7.3223,-0.0005,0,45
05/10/2019,SPXW190510C02320000,0,0,550,573.9,0,0,0.9991,0,0,2320.000,SPXW190510P02320000,0,0,0,0.05,0,7.1653,-0.0005,0,789
05/10/2019,SPXW190510C02325000,0,0,545,569,0,0,0.9991,0,0,2325.000,SPXW190510P02325000,0,0,0,0.05,0,7.1214,-0.0005,0,3604
05/10/2019,SPXW190510C02330000,0,0,540,563.9,0,0,0.9991,0,0,2330.000,SPXW190510P02330000,0,0,0,0.05,0,7.0073,-0.0005,0,5010
05/10/2019,SPXW190510C02340000,0,0,530,554,0,0,0.9991,0,0,2340.000,SPXW190510P02340000,0,0,0,0.05,0,6.9508,-0.0005,0,63
05/10/2019,SPXW190510C02350000,495.54,-23.06,520,543.9,8,0,0.999,0,0,2350.000,SPXW190510P02350000,0,0,0,0.05,0,6.8069,-0.0005,0,4285
05/10/2019,SPXW190510C02360000,0,0,510,534,0,0,0.9991,0,0,2360.000,SPXW190510P02360000,0,0,0,0.05,0,6.6662,-0.0005,0,30
05/10/2019,SPXW190510C02370000,0,0,500,523.9,0,0,0.999,0,0,2370.000,SPXW190510P02370000,0,0,0,0.05,0,6.5329,-0.0005,0,453
05/10/2019,SPXW190510C02375000,0,0,495,519,0,0,0.999,0,0,2375.000,SPXW190510P02375000,0,0,0,0.05,0,6.4653,-0.0005,0,1322
05/10/2019,SPXW190510C02380000,0,0,490,514,0,0,0.999,0,0,2380.000,SPXW190510P02380000,0,0,0,0.05,0,6.3979,-0.0005,0,700
05/10/2019,SPXW190510C02390000,0,0,480,504,0,0,0.9989,0,0,2390.000,SPXW190510P02390000,0,0,0,0.05,0,6.25,-0.0005,0,148
05/10/2019,SPXW190510C02400000,0,0,470,493.9,0,0,0.999,0,0,2400.000,SPXW190510P02400000,0,0,0,0.05,0,6.1453,-0.0006,0,1340
05/10/2019,SPXW190510C02410000,0,0,460,484,0,0,0.9989,0,0,2410.000,SPXW190510P02410000,0,0,0,0.05,0,6.001,-0.0006,0,106
05/10/2019,SPXW190510C02420000,0,0,450,473.9,0,0,0.9813,0.0002,0,2420.000,SPXW190510P02420000,0,0,0,0.05,0,5.876,-0.0006,0,15740
05/10/2019,SPXW190510C02425000,419.24,-24.66,445,469,2,0,0.9989,0,0,2425.000,SPXW190510P02425000,0,0,0,0.05,0,5.8153,-0.0006,0,601
05/10/2019,SPXW190510C02430000,0,0,440,464,0,0,0.9989,0,0,2430.000,SPXW190510P02430000,0,0,0,0.05,0,5.751,-0.0006,0,1055
05/10/2019,SPXW190510C02440000,0,0,430,454,0,0,0.9988,0,0,2440.000,SPXW190510P02440000,0,0,0,0.05,0,5.6037,-0.0006,0,312
05/10/2019,SPXW190510C02450000,0,0,420,443.9,0,0,0.9989,0,0,2450.000,SPXW190510P02450000,0,0,0,0.05,0,5.4752,-0.0006,0,7348
05/10/2019,SPXW190510C02455000,0,0,415,438.9,0,0,0.9989,0,0,2455.000,SPXW190510P02455000,0,0,0,0.05,0,5.4141,-0.0006,0,571
05/10/2019,SPXW190510C02460000,0,0,410,434,0,0,0.9988,0,0,2460.000,SPXW190510P02460000,0,0,0,0.05,0,5.3542,-0.0006,0,60
05/10/2019,SPXW190510C02465000,0,0,405,428.9,0,0,0.9988,0,0,2465.000,SPXW190510P02465000,0,0,0,0.05,0,5.2944,-0.0006,0,1411
05/10/2019,SPXW190510C02470000,0,0,400,423.9,0,0,0.9871,0.0002,0,2470.000,SPXW190510P02470000,0,0,0,0.05,0,5.2068,-0.0006,0,278
05/10/2019,SPXW190510C02475000,0,0,395,418.9,0,0,0.9987,0,0,2475.000,SPXW190510P02475000,0,0,0,0.05,0,5.1825,-0.0007,0,4612
05/10/2019,SPXW190510C02480000,0,0,390,414,0,0,0.9987,0,0,2480.000,SPXW190510P02480000,0,0,0,0.05,0,5.1076,-0.0007,0,1712
05/10/2019,SPXW190510C02485000,0,0,385,408.9,0,0,0.9987,0,0,2485.000,SPXW190510P02485000,0,0,0,0.05,0,5.035,-0.0007,0,748
05/10/2019,SPXW190510C02490000,0,0,380,403.9,0,0,0.9987,0,0,2490.000,SPXW190510P02490000,0,0,0,0.05,0,4.9858,-0.0007,0,231
05/10/2019,SPXW190510C02495000,0,0,375,399,0,0,0.9987,0,0,2495.000,SPXW190510P02495000,0.05,0.025,0,0.05,1,4.8885,-0.0007,0,342
05/10/2019,SPXW190510C02500000,0,0,370,393.9,0,0,0.9987,0,0,2500.000,SPXW190510P02500000,0,0,0,0.05,0,4.8721,-0.0007,0,17501
05/10/2019,SPXW190510C02505000,0,0,365,388.9,0,0,0.9986,0,0,2505.000,SPXW190510P02505000,0,0,0,0.05,0,4.7912,-0.0007,0,358
05/10/2019,SPXW190510C02510000,0,0,360,383.9,0,0,0.9987,0,0,2510.000,SPXW190510P02510000,0,0,0,0.05,0,4.7209,-0.0007,0,909
05/10/2019,SPXW190510C02515000,0,0,355,378.9,0,0,0.9987,0,0,2515.000,SPXW190510P02515000,0,0,0,0.05,0,4.6919,-0.0008,0,1853
05/10/2019,SPXW190510C02520000,0,0,350,373.9,0,0,0.9986,0,0,2520.000,SPXW190510P02520000,0,0,0,0.05,0,4.5861,-0.0007,0,1221
05/10/2019,SPXW190510C02525000,0,0,345,369,0,0,0.9854,0.0002,0,2525.000,SPXW190510P02525000,0,0,0,0.05,0,4.5598,-0.0008,0,8929
05/10/2019,SPXW190510C02530000,0,0,340,364,0,0,0.9986,0,0,2530.000,SPXW190510P02530000,0,0,0,0.05,0,4.4566,-0.0007,0,2005
05/10/2019,SPXW190510C02535000,0,0,335,358.9,0,0,0.9762,0.0003,0,2535.000,SPXW190510P02535000,0.05,0,0,0.05,6,4.4212,-0.0008,0,1217
05/10/2019,SPXW190510C02540000,0,0,330,353.9,0,0,0.9986,0,0,2540.000,SPXW190510P02540000,0,0,0,0.05,0,4.3571,-0.0008,0,228
05/10/2019,SPXW190510C02545000,0,0,325,349,0,0,0.9828,0.0002,0,2545.000,SPXW190510P02545000,0,0,0,0.05,0,4.2916,-0.0008,0,1423
05/10/2019,SPXW190510C02550000,0,0,320,344,0,0,0.9986,0,0,2550.000,SPXW190510P02550000,0,0,0,0.05,0,4.2237,-0.0008,0,4879
05/10/2019,SPXW190510C02555000,0,0,315,338.9,0,0,0.9985,0,0,2555.000,SPXW190510P02555000,0,0,0,0.05,0,4.1923,-0.0009,0,300
05/10/2019,SPXW190510C02560000,0,0,310,333.9,0,0,0.9985,0,0,2560.000,SPXW190510P02560000,0,0,0,0.05,0,4.1106,-0.0009,0,2588
05/10/2019,SPXW190510C02565000,0,0,305,328.9,0,0,0.9984,0,0,2565.000,SPXW190510P02565000,0,0,0,0.05,0,4.0067,-0.0008,0,9782
05/10/2019,SPXW190510C02570000,0,0,300,324,0,0,0.9985,0,0,2570.000,SPXW190510P02570000,0,0,0,0.05,0,4.001,-0.0009,0,616
05/10/2019,SPXW190510C02575000,0,0,295,319,0,0,0.9984,0,0,2575.000,SPXW190510P02575000,0,0,0,0.05,0,3.9146,-0.0009,0,12677
05/10/2019,SPXW190510C02580000,0,0,290,314,0,0,0.9812,0.0003,0,2580.000,SPXW190510P02580000,0.05,-0.025,0,0.05,396,3.8681,-0.0009,0,2065
05/10/2019,SPXW190510C02585000,0,0,285,309,0,0,0.9983,0.0001,0,2585.000,SPXW190510P02585000,0,0,0,0.05,0,3.7952,-0.0009,0,608
05/10/2019,SPXW190510C02590000,0,0,280,304,0,0,0.9983,0.0001,0,2590.000,SPXW190510P02590000,0,0,0,0.05,0,3.7209,-0.0009,0,604
05/10/2019,SPXW190510C02595000,0,0,275,299,0,0,0.9983,0.0001,0,2595.000,SPXW190510P02595000,0,0,0,0.05,0,3.6849,-0.001,0,1952
05/10/2019,SPXW190510C02600000,269.02,0.32,270,294,1,0,0.9983,0.0001,0,2600.000,SPXW190510P02600000,0.05,-0.025,0,0.05,622,3.6034,-0.0009,0,34984
05/10/2019,SPXW190510C02605000,0,0,265,289,0,0,0.9798,0.0003,0,2605.000,SPXW190510P02605000,0,0,0,0.05,0,3.5381,-0.0009,0,3836
05/10/2019,SPXW190510C02610000,0,0,260,283.9,0,0,0.9982,0.0001,0,2610.000,SPXW190510P02610000,0,0,0,0.05,0,3.4866,-0.001,0,2243
05/10/2019,SPXW190510C02615000,0,0,255,279,0,0,0.9982,0.0001,0,2615.000,SPXW190510P02615000,0,0,0,0.05,0,3.3897,-0.0009,0,11493
05/10/2019,SPXW190510C02620000,0,0,250,273.9,0,0,0.9937,0.0002,0,2620.000,SPXW190510P02620000,0,0,0,0.05,0,3.3685,-0.001,0,2377
05/10/2019,SPXW190510C02625000,0,0,245,269,0,0,0.9785,0.0004,0,2625.000,SPXW190510P02625000,0,0,0,0.05,0,3.2952,-0.001,0,4850
05/10/2019,SPXW190510C02630000,0,0,240,264,0,0,0.9882,0.0003,0,2630.000,SPXW190510P02630000,0,0,0,0.05,0,3.2252,-0.001,0,3084
05/10/2019,SPXW190510C02635000,0,0,235,258.9,0,0,0.9973,0.0001,0,2635.000,SPXW190510P02635000,0,0,0,0.05,0,3.1514,-0.001,0,7402
05/10/2019,SPXW190510C02640000,0,0,230,254,0,0,0.9915,0.0002,0,2640.000,SPXW190510P02640000,0,0,0,0.05,0,3.0839,-0.001,0,10792
05/10/2019,SPXW190510C02645000,0,0,225,249,0,0,0.9972,0.0001,0,2645.000,SPXW190510P02645000,0,0,0,0.05,0,3.0431,-0.0011,0,4831
05/10/2019,SPXW190510C02650000,0,0,220,244,0,0,0.9728,0.0005,0,2650.000,SPXW190510P02650000,0.05,-0.05,0,0.05,242,2.9873,-0.0011,0,5994
05/10/2019,SPXW190510C02655000,0,0,215,239,0,0,0.9963,0.0001,0,2655.000,SPXW190510P02655000,0.05,-0.075,0,0.05,155,2.9354,-0.0012,0.0001,511
05/10/2019,SPXW190510C02660000,0,0,210,234,0,0,0.9921,0.0002,0,2660.000,SPXW190510P02660000,0,0,0,0.05,0,2.8761,-0.0012,0.0001,4254
05/10/2019,SPXW190510C02665000,0,0,205,229,0,0.02,0.994,0.0002,0,2665.000,SPXW190510P02665000,0,0,0,0.05,0,2.8003,-0.0012,0.0001,4238
05/10/2019,SPXW190510C02670000,0,0,200.5,224.4,0,0.02,0.9978,0.0001,0,2670.000,SPXW190510P02670000,0,0,0,0.05,0,2.7333,-0.0012,0.0001,2802
05/10/2019,SPXW190510C02675000,0,0,199,214.7,0,0.02,0.9945,0.0002,0,2675.000,SPXW190510P02675000,0.05,-0.1,0,0.05,105,2.6667,-0.0012,0.0001,7093
05/10/2019,SPXW190510C02680000,0,0,194,209.7,0,0,0.996,0.0001,0,2680.000,SPXW190510P02680000,0.05,-0.1,0,0.05,98,2.603,-0.0012,0.0001,1556
05/10/2019,SPXW190510C02685000,0,0,189,204.7,0,0.02,0.9959,0.0002,0,2685.000,SPXW190510P02685000,0.05,-0.1,0,0.05,160,2.5343,-0.0012,0.0001,1741
05/10/2019,SPXW190510C02690000,155.54,-23.71,184,199.7,3,0.02,0.9958,0.0002,0,2690.000,SPXW190510P02690000,0.05,-0.1,0,0.05,1,2.4934,-0.0013,0.0001,1962
05/10/2019,SPXW190510C02695000,0,0,179,194.7,0,0.02,0.9957,0.0002,0,2695.000,SPXW190510P02695000,0.05,-0.15,0,0.05,52,2.434,-0.0014,0.0001,847
05/10/2019,SPXW190510C02700000,145.55,-23.8,174,189.7,3,0.02,0.9955,0.0002,0,2700.000,SPXW190510P02700000,0.05,-0.175,0,0.05,578,2.3627,-0.0013,0.0001,14185
05/10/2019,SPXW190510C02705000,0,0,168.8,184.5,0,0.02,0.9974,0.0001,0,2705.000,SPXW190510P02705000,0.05,-0.2,0,0.05,11,2.3099,-0.0014,0.0001,1369
05/10/2019,SPXW190510C02710000,142.62,-16.78,163.8,179.5,7,0.02,0.9943,0.0002,0,2710.000,SPXW190510P02710000,0.05,-0.2,0,0.05,345,2.251,-0.0015,0.0001,1121
05/10/2019,SPXW190510C02715000,0,0,159,174.7,0,0.02,0.9953,0.0002,0,2715.000,SPXW190510P02715000,0.05,-0.25,0,0.05,1080,2.1885,-0.0015,0.0001,3112
05/10/2019,SPXW190510C02720000,144.26,-5.24,153.8,169.5,167,0.02,0.968,0.0008,0,2720.000,SPXW190510P02720000,0.05,-0.3,0,0.05,612,2.126,-0.0015,0.0001,5303
05/10/2019,SPXW190510C02725000,138.58,-6.07,149.1,165,4,0.02,0.9763,0.0007,0,2725.000,SPXW190510P02725000,0.05,-0.35,0,0.05,2786,2.0635,-0.0016,0.0001,13682
05/10/2019,SPXW190510C02730000,133.53,-6.17,144.1,160,8,0.02,0.9756,0.0007,0,2730.000,SPXW190510P02730000,0.05,-0.45,0,0.05,2143,2.001,-0.0016,0.0001,3468
05/10/2019,SPXW190510C02735000,109.93,-24.77,139,154.7,5,0.02,0.9948,0.0003,0,2735.000,SPXW190510P02735000,0.05,-0.5,0,0.05,1706,1.9385,-0.0017,0.0001,2840
05/10/2019,SPXW190510C02740000,121.9,-7.9,134,149.7,35,0.02,0.9946,0.0003,0,2740.000,SPXW190510P02740000,0.01,-0.65,0,0.05,1787,1.876,-0.0017,0.0001,3119
05/10/2019,SPXW190510C02745000,0,0,129,144.7,0,0.02,0.9944,0.0003,0,2745.000,SPXW190510P02745000,0.05,-0.775,0,0.05,2051,1.8027,-0.0017,0.0001,2926
05/10/2019,SPXW190510C02750000,0,0,123.8,139.5,0,0.02,0.9593,0.0011,0,2750.000,SPXW190510P02750000,0.01,-0.925,0,0.05,7309,1.7668,-0.002,0.0001,12308
05/10/2019,SPXW190510C02755000,0,0,118.8,134.5,0,0.02,0.972,0.001,0,2755.000,SPXW190510P02755000,0.04,-1.11,0,0.05,4074,1.6808,-0.0018,0.0001,4376
05/10/2019,SPXW190510C02760000,78.15,-32.3,114,129.7,2,0.02,0.9939,0.0003,0,2760.000,SPXW190510P02760000,0.03,-1.295,0,0.05,3980,1.6386,-0.0021,0.0001,5295
05/10/2019,SPXW190510C02765000,91.25,-14.5,108.8,124.5,16,0.02,0.9673,0.0011,0,2765.000,SPXW190510P02765000,0.05,-1.55,0,0.05,1903,1.5571,-0.0019,0.0001,2066
05/10/2019,SPXW190510C02770000,105.51,4.61,104,120,14,0.02,0.9905,0.0005,0,2770.000,SPXW190510P02770000,0.05,-1.775,0,0.05,3176,1.5105,-0.0022,0.0002,7481
05/10/2019,SPXW190510C02775000,60.85,-35.4,100.2,116.1,4,0.02,0.9679,0.0012,0,2775.000,SPXW190510P02775000,0.05,-2.1,0,0.05,4301,1.454,-0.0023,0.0002,17261
05/10/2019,SPXW190510C02780000,95.37,3.82,97,106.8,10,0.02,0.9929,0.0005,0,2780.000,SPXW190510P02780000,0.05,-2.45,0,0.05,3567,1.3728,-0.0022,0.0002,3990
05/10/2019,SPXW190510C02785000,61.45,-25.55,92,101.8,93,0.02,0.9926,0.0005,0,2785.000,SPXW190510P02785000,0.05,-2.85,0,0.05,4423,1.3077,-0.0022,0.0002,7675
05/10/2019,SPXW190510C02790000,72.74,-9.66,87,96.9,8,0.02,0.9892,0.0007,0,2790.000,SPXW190510P02790000,0.05,-3.3,0,0.05,6904,1.2582,-0.0025,0.0002,3921
05/10/2019,SPXW190510C02795000,67.76,-10.09,82,91.9,18,0.02,0.9889,0.0008,0,2795.000,SPXW190510P02795000,0.05,-3.8,0,0.05,5414,1.202,-0.0028,0.0003,2948
05/10/2019,SPXW190510C02800000,83.3,9.8,77,86.8,28,0.02,0.9915,0.0007,0,2800.000,SPXW190510P02800000,0.03,-4.32,0,0.05,18055,1.126,-0.0026,0.0003,20639
05/10/2019,SPXW190510C02805000,64.7,-4.4,72,81.9,119,0.02,0.9877,0.0009,0,2805.000,SPXW190510P02805000,0.05,-4.95,0,0.05,6274,1.0635,-0.0028,0.0003,4792
05/10/2019,SPXW190510C02810000,63.2,-1.5,67,77,59,0.02,0.9906,0.0008,0,2810.000,SPXW190510P02810000,0.05,-5.65,0,0.05,7510,1.001,-0.003,0.0003,5764
05/10/2019,SPXW190510C02815000,74.18,13.68,62,71.8,198,0.02,0.99,0.0009,0,2815.000,SPXW190510P02815000,0.05,-6.4,0,0.05,5895,0.9385,-0.0032,0.0004,3623
05/10/2019,SPXW190510C02820000,60.9,4.6,57,66.8,171,0.02,0.9892,0.001,0,2820.000,SPXW190510P02820000,0.05,-7.25,0,0.05,9578,0.876,-0.0034,0.0004,6791
05/10/2019,SPXW190510C02825000,51.79,-0.46,52,61.8,1437,0.02,0.9886,0.0012,0,2825.000,SPXW190510P02825000,0.05,-8.2,0,0.05,11943,0.8135,-0.0037,0.0005,10958
05/10/2019,SPXW190510C02830000,46.72,-1.43,47,56.9,1696,0.02,0.9831,0.0017,0,2830.000,SPXW190510P02830000,0.05,-9.15,0,0.05,13755,0.751,-0.0041,0.0006,11127
05/10/2019,SPXW190510C02835000,42.2,-2.05,42,51.9,1407,0.02,0.9819,0.0019,0,2835.000,SPXW190510P02835000,0.05,-10.25,0,0.05,7077,0.6885,-0.0046,0.0007,4730
05/10/2019,SPXW190510C02840000,36.02,-4.43,37,47,2307,0.02,0.9855,0.0019,0,2840.000,SPXW190510P02840000,0.05,-11.45,0,0.05,12354,0.6182,-0.0047,0.0008,8496
05/10/2019,SPXW190510C02845000,36.98,0.23,32,42,1863,0.02,0.9841,0.0023,0,2845.000,SPXW190510P02845000,0.05,-12.7,0,0.05,8122,0.5546,-0.0054,0.0011,5819
05/10/2019,SPXW190510C02850000,32.25,-0.9,27,36.8,9442,0.02,0.9824,0.0028,0,2850.000,SPXW190510P02850000,0.05,-14.1,0,0.05,14345,0.4889,-0.0062,0.0013,15515
05/10/2019,SPXW190510C02855000,21.97,-7.68,22,31.9,2186,0.02,0.9796,0.0036,0,2855.000,SPXW190510P02855000,0.05,-15.6,0,0.05,3855,0.4842,-0.0164,0.0032,2235
05/10/2019,SPXW190510C02860000,22.25,-4.1,17,26.9,7472,0.02,0.9764,0.0049,0,2860.000,SPXW190510P02860000,0.05,-17.25,0,0.05,6154,0.4785,-0.0389,0.0066,5800
05/10/2019,SPXW190510C02865000,17.2,-5.95,12,21.9,7124,0.02,0.9717,0.0071,0,2865.000,SPXW190510P02865000,0.01,-19.06,0,0.05,3626,0.4661,-0.0798,0.0119,3242
05/10/2019,SPXW190510C02870000,12.35,-7.7,7,16.9,12415,0.02,0.9413,0.0147,0,2870.000,SPXW190510P02870000,0.05,-20.95,0,0.05,6472,0.48,-0.1653,0.0194,4738
05/10/2019,SPXW190510C02875000,6.5,-10.7,2.8,12.5,13051,0.02,0.9055,0.0298,0,2875.000,SPXW190510P02875000,0.05,-23.05,0,0.05,3249,0.5175,-0.2949,0.025,7247
05/10/2019,SPXW190510C02880000,1.65,-12.85,1.65,4,13987,0.02,0.7723,0.0938,0,2880.000,SPXW190510P02880000,0.15,-25.3,0.05,0.15,3692,0.5259,-0.4311,0.028,3575
05/10/2019,SPXW190510C02885000,0.05,-12,0,0.3,15012,0.1386,0.2412,0.0843,6208,2885.000,SPXW190510P02885000,6,-22,2,10,1405,0.8493,-0.5441,0.0175,0
05/10/2019,SPXW190510C02890000,0.04,-9.76,0,0.05,12282,0.1903,0.0675,0.0257,3617,2890.000,SPXW190510P02890000,12.45,-18.35,3.9,13,1443,0.9919,-0.6112,0.0145,0
05/10/2019,SPXW190510C02895000,0.03,-7.82,0,0.05,8367,0.2491,0.0293,0.01,3715,2895.000,SPXW190510P02895000,19.65,-14.15,8.2,18,466,1.0958,-0.6646,0.0125,0
05/10/2019,SPXW190510C02900000,0.03,-6.12,0,0.05,14154,0.3279,0.0225,0.0061,16802,2900.000,SPXW190510P02900000,24,-13.05,13.2,23,1487,1.2665,-0.6962,0.0104,0
05/10/2019,SPXW190510C02905000,0.05,-4.7,0,0.05,5204,0.353,0.0084,0.0024,4266,2905.000,SPXW190510P02905000,27.87,-12.98,18.2,28,187,1.4399,-0.7189,0.0088,0
05/10/2019,SPXW190510C02910000,0.05,-3.55,0,0.05,3697,0.4198,0.0071,0.0018,4540,2910.000,SPXW190510P02910000,32.92,-11.43,23.2,33,574,1.6422,-0.7322,0.0075,0
05/10/2019,SPXW190510C02915000,0.05,-2.625,0,0.05,1712,0.4856,0.0062,0.0014,4767,2915.000,SPXW190510P02915000,39.71,-8.84,28.2,38,121,1.7717,-0.7511,0.0067,0
